"id","age","sex","x1","x2","y"
1,44.4,"F",-0.15,"C",0
2,47.7,"F",-0.328,"A",0
3,65.6,"F",-1.448,"B",1
4,50.7,"M",-0.697,"B",0
9,43.1,"F",0.61,"C",1
11,62.2,"F",1.364,"C",1
13,54,"F",-1.709,"A",0
15,44.4,"M",-0.238,"B",1
16,67.9,"M",1.463,"A",1
21,39.3,"M",0.726,"A",1
22,47.8,"F",-0.459,"A",0
23,39.7,"M",1.685,"C",0
24,42.7,"F",0.147,"C",0
25,43.7,"F",-2.03,"C",0
27,58.4,"F",-1.632,"B",0
28,51.5,"M",-2.178,"C",0
29,38.6,"M",0.059,"A",0
30,62.5,"M",0.648,"B",0
35,58.2,"M",0.703,"B",1
37,55.5,"M",-1.595,"B",0
41,43.1,"F",0.01,"C",1
42,47.9,"F",0.417,"B",0
50,49.2,"M",-2.179,"A",0
52,49.7,"F",1.015,"B",0
57,34.5,"F",0.672,"C",0
59,51.2,"M",-1.516,"B",0
60,52.2,"F",-0.505,"A",1
61,53.8,"M",-0.139,"B",0
68,50.5,"F",1.008,"B",1
70,70.5,"F",0.147,"C",0
72,26.9,"M",1.106,"A",0
77,47.2,"F",-0.597,"C",1
78,37.8,"F",-0.581,"C",0
79,51.8,"M",0.302,"C",0
80,48.6,"M",0.306,"C",1
82,53.9,"M",0.485,"C",1
84,56.4,"F",0.843,"C",0
85,47.8,"M",-0.544,"C",0
88,54.4,"M",0.338,"C",0
89,46.7,"F",-1.707,"C",0
90,61.5,"F",0.246,"B",0
91,59.9,"F",-1.568,"C",0
93,52.4,"M",-1.757,"C",0
97,71.9,"F",-0.582,"B",1
103,47.5,"F",1.277,"B",1
105,40.5,"M",-0.072,"A",0
108,33.3,"M",-0.15,"A",0
110,59.2,"F",0.428,"B",1
112,56.1,"F",-1.726,"C",1
114,49.4,"F",0.287,"C",1
117,51.1,"F",-0.703,"C",0
118,43.6,"M",-1.368,"A",0
119,41.5,"M",-0.729,"B",0
121,51.2,"M",-0.635,"C",1
126,43.5,"F",0.542,"A",0
127,52.4,"F",-0.261,"C",0
129,40.4,"F",-0.432,"A",1
130,49.3,"M",-0.293,"A",1
131,64.4,"F",-1.007,"A",1
133,50.4,"M",-1.225,"A",0
134,45.8,"M",-0.59,"B",0
138,57.4,"M",-0.485,"B",1
139,69.1,"M",-0.7,"B",0
141,57,"F",-1.585,"B",0
142,47.4,"M",0.111,"A",1
144,34.9,"M",-1.283,"A",0
145,34,"M",-1.413,"B",0
146,44.7,"F",2.232,"B",1
149,71,"F",-0.199,"B",0
153,53.3,"F",-0.432,"C",1
154,39.9,"M",-0.344,"C",0
155,48.8,"F",-0.32,"A",0
156,47.2,"F",-0.752,"A",1
157,55.6,"F",1.074,"A",1
158,46.3,"M",0.094,"A",0
159,59.8,"M",-0.773,"B",1
161,60.5,"M",0.35,"C",1
164,82.4,"M",-0.906,"B",0
167,56.4,"F",-1.184,"B",1
168,45.2,"M",-0.331,"C",0
170,53.7,"F",-0.913,"A",1
172,50.7,"M",-1.83,"A",1
175,42.6,"M",-1.151,"A",0
177,50.4,"F",-0.22,"B",0
184,41.3,"F",-0.301,"B",1
188,50.8,"F",-1.835,"A",0
191,52.1,"F",-0.458,"A",1
197,56,"F",0.951,"B",1
198,37.5,"F",-0.011,"B",0
203,47.3,"F",-0.898,"C",1
205,45.9,"M",-2.487,"C",0
206,45.2,"F",0.401,"C",1
212,52.4,"F",0.248,"C",1
214,44.8,"M",1.997,"C",1
216,66.8,"F",0.196,"C",1
219,37.6,"F",0.65,"A",0
221,44.3,"M",0.161,"A",0
222,56.2,"F",0.725,"C",0
223,61.1,"M",-0.274,"C",0
